wav_filename,wav_filesize,transcript
deepspeech/train/1.wav,122958,قل هو الله أحد
deepspeech/train/2.wav,106332,قل هو الله أحد
deepspeech/train/3.wav,110002,قل هو الله أحد
deepspeech/train/4.wav,131150,قل هو الله أحد
deepspeech/train/5.wav,131150,قل هو الله أحد
deepspeech/train/6.wav,99600,قل هو الله أحد
deepspeech/train/7.wav,103360,قل هو الله أحد
deepspeech/train/8.wav,131150,قل هو الله أحد
deepspeech/train/9.wav,120450,قل هو الله أحد
deepspeech/train/10.wav,120228,الله الصمد
deepspeech/train/11.wav,95652,الله الصمد
deepspeech/train/12.wav,131596,الله الصمد
deepspeech/train/13.wav,72896,الله الصمد
deepspeech/train/14.wav,95652,الله الصمد
deepspeech/train/15.wav,95652,الله الصمد
deepspeech/train/16.wav,117496,الله الصمد
deepspeech/train/17.wav,160574,الله الصمد
deepspeech/train/18.wav,75868,و لم يولد
deepspeech/train/19.wav,107076,لم يلد و لم يولد
deepspeech/train/20.wav,105848,لم يلد و لم يولد
deepspeech/train/21.wav,82556,لم يلد و لم يولد
deepspeech/train/22.wav,139342,لم يلد و لم يولد
deepspeech/train/23.wav,24598,و لم يولد
deepspeech/train/24.wav,24598,و لم يولد
deepspeech/train/25.wav,131150,لم يلد و لم يولد
deepspeech/train/26.wav,139342,لم يلد و لم يولد
deepspeech/train/27.wav,116736,لم يلد و لم يولد
deepspeech/train/28.wav,265344,و لم يكن له كفوا أحد
deepspeech/train/29.wav,66208,يكن له كفوا أحد
deepspeech/train/30.wav,139342,و لم يكن له كفوا أحد
deepspeech/train/31.wav,139026,و لم يكن له كفوا أحد
deepspeech/train/32.wav,144228,و لم يكن له كفوا أحد
deepspeech/train/33.wav,64888,له كفوا
deepspeech/train/34.wav,143484,و لم يكن له كفوا أحد
deepspeech/train/35.wav,158456,و لم يكن له كفوا أحد
deepspeech/train/36.wav,85528,قل هو الله أحد
deepspeech/train/37.wav,69924,الله الصمد
deepspeech/train/38.wav,89278,لم يلد و لم يولد
deepspeech/train/39.wav,122422,و لم يكن له كفوا أحد
deepspeech/train/40.wav,122958,قل هو الله أحد
deepspeech/train/41.wav,101058,الله الصمد
deepspeech/train/42.wav,120254,لم يلد و لم يولد
deepspeech/train/43.wav,174820,و لم يكن له كفوا أحد
deepspeech/train/44.wav,55670,قل هو الله أحد
deepspeech/train/45.wav,53394,الله الصمد
deepspeech/train/46.wav,61082,لم يلد و لم يولد
deepspeech/train/47.wav,96036,و لم يكن له كفوا أحد
deepspeech/train/48.wav,174656,قل هو الله أحد
deepspeech/train/49.wav,170080,الله الصمد
deepspeech/train/50.wav,188216,لم يلد و لم يولد
deepspeech/train/51.wav,243390, لم يكن له كفوا أحد
deepspeech/train/52.wav,66744,قل هو الله أحد
deepspeech/train/53.wav,54834,الله الصمد
deepspeech/train/54.wav,76568,لم يلد و لم يولد
deepspeech/train/55.wav,103798,و لم يكن له كفوا أحد
deepspeech/train/56.wav,83706,قل هو الله أحد
deepspeech/train/57.wav,65310,الله الصمد
deepspeech/train/58.wav,79538,لم يلد و لم يولد
deepspeech/train/59.wav,120166,و لم يكن له كفوا أحد
deepspeech/train/60.wav,110704,قل هو الله أحد
deepspeech/train/61.wav,91176,الله الصمد
deepspeech/train/62.wav,229642,لم يلد و لم يولد و لم يكن له كفوا أحد
deepspeech/train/63.wav,102050,قل هو الله أحد
deepspeech/train/64.wav,74480,الله الصمد
deepspeech/train/65.wav,82766,لم يلد و لم يولد
deepspeech/train/66.wav,111048,و لم يكن له كفوا أحد
deepspeech/train/67.wav,70170,قل هو الله أحد
deepspeech/train/68.wav,47322,الله الصمد
deepspeech/train/69.wav,77974,لم يلد و لم يولد
deepspeech/train/70.wav,111728,و لم يكن له كفوا أحد
deepspeech/train/71.wav,78956,قل هو الله أحد
deepspeech/train/72.wav,68826,الله الصمد
deepspeech/train/73.wav,192270,لم يلد و لم يولد و لم يكن له كفوا أحد
deepspeech/train/74.wav,80702,قل هو الله أحد
deepspeech/train/75.wav,62874,الله الصمد
deepspeech/train/76.wav,70236,لم يلد و لم يولد
deepspeech/train/77.wav,130670,و لم يكن له كفوا أحد
deepspeech/train/78.wav,80398,قل هو الله أحد
deepspeech/train/79.wav,70550,الله الصمد
deepspeech/train/80.wav,73442,لم يلد و لم يولد
deepspeech/train/81.wav,112278,و لم يكن له كفوا أحد
deepspeech/train/82.wav,70760,قل هو الله أحد
deepspeech/train/83.wav,63236,الله الصمد
deepspeech/train/84.wav,80330,لم يلد و لم يولد
deepspeech/train/85.wav,105758,و لم يكن له كفوا أحد
deepspeech/train/86.wav,81162,قل هو الله أحد
deepspeech/train/87.wav,61750,الله الصمد
deepspeech/train/88.wav,88376,لم يلد و لم يولد
deepspeech/train/89.wav,124606,و لم يكن له كفوا أحد
deepspeech/train/90.wav,65806,قل هو الله أحد
deepspeech/train/91.wav,59840,الله الصمد
deepspeech/train/92.wav,70688,لم يلد و لم يولد
deepspeech/train/93.wav,113484,و لم يكن له كفوا أحد
deepspeech/train/94.wav,83160,قل هو الله أحد
deepspeech/train/95.wav,60400,الله الصمد
deepspeech/train/96.wav,79884,لم يلد و لم يولد
deepspeech/train/97.wav,121426,و لم يكن له كفوا أحد
deepspeech/train/98.wav,75338,قل هو الله أحد
deepspeech/train/99.wav,49146,الله الصمد
deepspeech/train/100.wav,70728,لم يلد و لم يولد
deepspeech/train/101.wav,93366,و لم يكن له كفوا أحد
deepspeech/train/102.wav,74468,قل هو الله أحد
deepspeech/train/103.wav,60504,الله الصمد
deepspeech/train/104.wav,78136,لم يلد و لم يولد
deepspeech/train/105.wav,117492,و لم يكن له كفوا أحد
deepspeech/train/106.wav,101122,قل هو الله أحد
deepspeech/train/107.wav,96158,الله الصمد
deepspeech/train/108.wav,119020,لم يلد و لم يولد
deepspeech/train/109.wav,157504,و لم يكن له كفوا أحد
deepspeech/train/110.wav,127834,قل هو الله احد الله الصمد
deepspeech/train/111.wav,171064,لم يلد و لم يولد و لم يكن له كفوا أحد
deepspeech/train/112.wav,84922,قل هو الله أحد
deepspeech/train/113.wav,50700,الله الصمد
deepspeech/train/114.wav,29832,لم يلد
deepspeech/train/115.wav,42372,و لم يولد
deepspeech/train/116.wav,93944,و لم يكن له كفوا أحد
deepspeech/train/117.wav,60360,قل هو الله أحد
deepspeech/train/118.wav,49180,الله الصمد
deepspeech/train/119.wav,61626,لم يلد و لم يولد
deepspeech/train/120.wav,95800,و لم يكن له كفوا أحد
deepspeech/train/121.wav,80280,قل هو الله أحد
deepspeech/train/122.wav,64520,الله الصمد
deepspeech/train/123.wav,87640,لم يلد و لم يولد
deepspeech/train/124.wav,114038,و لم يكن له كفوا أحد
deepspeech/train/125.wav,78794,قل هو الله أحد
deepspeech/train/126.wav,60090,الله الصمد
deepspeech/train/127.wav,78352,لم يلد و لم يولد
deepspeech/train/128.wav,110144,و لم يكن له كفوا أحد
deepspeech/train/129.wav,78022,قل هو الله أحد
deepspeech/train/130.wav,246182,الله الصمد لم يلد و لم يولد و لم يكن له كفوا أحد
deepspeech/train/131.wav,107608,قل هو الله أحد
deepspeech/train/132.wav,88496,الله الصمد
deepspeech/train/133.wav,123272,لم يلد و لم يولد
deepspeech/train/134.wav,152388,و لم يكن له كفوا أحد
deepspeech/train/135.wav,87962,قل هو الله أحد
deepspeech/train/136.wav,67068,الله الصمد
deepspeech/train/137.wav,91136,لم يلد و لم يولد
deepspeech/train/138.wav,124676,و لم يكن له كفوا أحد
deepspeech/train/139.wav,116314,قل هو الله أحد
deepspeech/train/140.wav,110252,الله الصمد
deepspeech/train/141.wav,143264,لم يلد و لم يولد
deepspeech/train/142.wav,215044,و لم يكن له كفوا أحد
deepspeech/train/143.wav,91882,قل هو الله أحد
deepspeech/train/144.wav,63934,الله الصمد
deepspeech/train/145.wav,100772,لم يلد و لم يولد
deepspeech/train/146.wav,112942,و لم يكن له كفوا أحد
deepspeech/train/147.wav,67680,قل هو الله أحد
deepspeech/train/148.wav,50628,الله الصمد
deepspeech/train/149.wav,157608,لم يلد و لم يولد و لم يكن له كفوا أحد
deepspeech/train/150.wav,93538,قل هو الله أحد
deepspeech/train/151.wav,57526,الله الصمد
deepspeech/train/152.wav,81708,لم يلد و لم يولد
deepspeech/train/153.wav,116912,و لم يكن له كفوا أحد
deepspeech/train/154.wav,97648,قل هو الله أحد
deepspeech/train/155.wav,69694,الله الصمد
deepspeech/train/156.wav,84670,لم يلد و لم يولد
deepspeech/train/157.wav,121878,و لم يكن له كفوا أحد
deepspeech/train/158.wav,96382,قل هو الله أحد
deepspeech/train/159.wav,82542,الله الصمد
deepspeech/train/160.wav,104332,لم يلد و لم يولد
deepspeech/train/161.wav,137436,و لم يكن له كفوا أحد
deepspeech/train/162.wav,95560,قل هو الله أحد
deepspeech/train/163.wav,100104,الله الصمد
deepspeech/train/164.wav,110850,لم يلد و لم يولد
deepspeech/train/165.wav,148990,و لم يكن له كفوا أحد
deepspeech/train/166.wav,70322,قل هو الله أحد
deepspeech/train/167.wav,57356,الله الصمد
deepspeech/train/168.wav,74416,لم يلد و لم يولد
deepspeech/train/169.wav,108186,و لم يكن له كفوا أحد
deepspeech/train/170.wav,397550,قل هو الله احد الله الصمد لم يلد و لم يولد و لم يكن له كفوا أحد
deepspeech/train/171.wav,64676,قل هو الله أحد
deepspeech/train/172.wav,43742,الله الصمد
deepspeech/train/173.wav,60186,لم يلد و لم يولد
deepspeech/train/174.wav,92882,و لم يكن له كفوا أحد
deepspeech/train/175.wav,61530,قل هو الله أحد
deepspeech/train/176.wav,53364,الله الصمد
deepspeech/train/177.wav,62592,لم يلد و لم يولد
deepspeech/train/178.wav,91856,و لم يكن له كفوا أحد
deepspeech/train/179.wav,143640,قل هو الله أحد
deepspeech/train/180.wav,110744,الله الصمد
deepspeech/train/181.wav,115232,لم يلد و لم يولد
deepspeech/train/182.wav,176662,و لم يكن له كفوا أحد
deepspeech/train/183.wav,72850,قل هو الله أحد
deepspeech/train/184.wav,59398,الله الصمد
deepspeech/train/185.wav,83662,لم يلد و لم يولد
deepspeech/train/186.wav,111728,و لم يكن له كفوا أحد
deepspeech/train/187.wav,442352,قل هو الله احد الله الصمد لم يلد و لم يولد
deepspeech/train/188.wav,389558,لم يلد و لم يولد و لم يكن له كفوا أحد
deepspeech/train/189.wav,116146,قل هو الله أحد
deepspeech/train/190.wav,103740,الله الصمد
deepspeech/train/191.wav,91836,لم يلد و لم يولد
deepspeech/train/192.wav,150936,و لم يكن له كفوا أحد
deepspeech/train/193.wav,72568,قل هو الله أحد
deepspeech/train/194.wav,62324,الله الصمد
deepspeech/train/195.wav,79444,لم يلد و لم يولد
deepspeech/train/196.wav,115532,و لم يكن له كفوا أحد
deepspeech/train/197.wav,100814,قل هو الله أحد
deepspeech/train/198.wav,84994,الله الصمد
deepspeech/train/199.wav,109900,لم يلد و لم يولد
deepspeech/train/200.wav,146884,و لم يكن له كفوا أحد
deepspeech/train/201.wav,76564,قل هو الله أحد
deepspeech/train/202.wav,52804,الله الصمد
deepspeech/train/203.wav,76542,لم يلد و لم يولد
deepspeech/train/204.wav,103890,و لم يكن له كفوا أحد
deepspeech/train/205.wav,101224,قل هو الله أحد
deepspeech/train/206.wav,59772,الله الصمد
deepspeech/train/207.wav,76068,لم يلد و لم يولد
deepspeech/train/208.wav,108602,و لم يكن له كفوا أحد
deepspeech/train/209.wav,65948,قل هو الله أحد
deepspeech/train/210.wav,58298,الله الصمد
deepspeech/train/211.wav,71190,لم يلد و لم يولد
deepspeech/train/212.wav,105544,و لم يكن له كفوا أحد
deepspeech/train/213.wav,64612,قل هو الله أحد
deepspeech/train/214.wav,48330,الله الصمد
deepspeech/train/215.wav,66162,لم يلد و لم يولد
deepspeech/train/216.wav,107038,و لم يكن له كفوا أحد
deepspeech/train/217.wav,105778,قل هو الله أحد
deepspeech/train/218.wav,88956,الله الصمد
deepspeech/train/219.wav,96376,لم يلد و لم يولد
deepspeech/train/220.wav,143296,و لم يكن له كفوا أحد
deepspeech/train/221.wav,92670,قل هو الله أحد
deepspeech/train/222.wav,64588,الله الصمد
deepspeech/train/223.wav,86242,لم يلد و لم يولد
deepspeech/train/224.wav,121798,و لم يكن له كفوا أحد
deepspeech/train/225.wav,143476,قل هو الله أحد
deepspeech/train/226.wav,160488,الله الصمد
deepspeech/train/227.wav,186420,لم يلد و لم يولد
deepspeech/train/228.wav,256616,و لم يكن له كفوا أحد
deepspeech/train/229.wav,69170,قل هو الله أحد
deepspeech/train/230.wav,47590,الله الصمد
deepspeech/train/231.wav,57562,لم يلد و لم يولد
deepspeech/train/232.wav,103112,و لم يكن له كفوا أحد
deepspeech/train/233.wav,50178,قل هو الله أحد
deepspeech/train/234.wav,33558,الله الصمد
deepspeech/train/235.wav,20692,لم يلد
deepspeech/train/236.wav,32892,و لم يولد
deepspeech/train/237.wav,74992,و لم يكن له كفوا أحد
deepspeech/train/238.wav,80738,قل هو الله أحد
deepspeech/train/239.wav,69820,الله الصمد
deepspeech/train/240.wav,89326,لم يلد و لم يولد
deepspeech/train/241.wav,128744,و لم يكن له كفوا أحد
deepspeech/train/242.wav,91060,قل هو الله أحد
deepspeech/train/243.wav,60684,الله الصمد
deepspeech/train/244.wav,82178,لم يلد و لم يولد
deepspeech/train/245.wav,118972,و لم يكن له كفوا أحد
deepspeech/train/246.wav,76432,قل هو الله أحد
deepspeech/train/247.wav,71364,الله الصمد
deepspeech/train/248.wav,83748,لم يلد و لم يولد
deepspeech/train/249.wav,135040,و لم يكن له كفوا أحد
deepspeech/train/250.wav,75520,قل هو الله أحد
deepspeech/train/251.wav,55432,الله الصمد
deepspeech/train/252.wav,156254,لم يلد و لم يولد و لم يكن له كفوا أحد
deepspeech/train/253.wav,58778,قل
deepspeech/train/254.wav,53578,هو
deepspeech/train/255.wav,69924,الله
deepspeech/train/256.wav,58036,أحد
deepspeech/train/257.wav,66208,الصمد
deepspeech/train/258.wav,85528,الله الصمد
deepspeech/train/259.wav,93702,قل هو الله أحد
deepspeech/train/260.wav,43918,لم
deepspeech/train/261.wav,63236,يلد
deepspeech/train/262.wav,69924,و لم
deepspeech/train/263.wav,82556,يولد
deepspeech/train/264.wav,73640,لم يلد
deepspeech/train/265.wav,84042,و لم يولد
deepspeech/train/266.wav,119708,لم يلد و لم يولد
deepspeech/train/267.wav,58778,يكن
deepspeech/train/268.wav,46146,له
deepspeech/train/269.wav,89986,كفوا
deepspeech/train/270.wav,63980,و لم يكن
deepspeech/train/271.wav,89986,و لم يكن له
deepspeech/train/272.wav,83298,له كفوا
deepspeech/train/273.wav,139770,و لم يكن له كفوا أحد
deepspeech/train/274.wav,114506,له كفوا أحد
deepspeech/train/275.wav,169934,قل أعوذ برب الناس
deepspeech/train/276.wav,120782,ملك الناس
deepspeech/train/277.wav,190414,من شر الوسواس الخناس
deepspeech/train/278.wav,204750,الذي يوسوس في صدور الناس
deepspeech/train/279.wav,180174,من الجنة و الناس
deepspeech/train/280.wav,169934,قل أعوذ برب الناس
deepspeech/train/281.wav,128974,ملك الناس
deepspeech/train/282.wav,126926,إله الناس
deepspeech/train/283.wav,204750,من شر الوسواس الخناس
deepspeech/train/284.wav,208846,الذي يوسوس في صدور الناس
deepspeech/train/285.wav,219086,من الجنة و الناس
deepspeech/train/286.wav,251854,قل أعوذ برب الناس
deepspeech/train/287.wav,153550,ملك الناس
deepspeech/train/288.wav,171982,إله الناس
deepspeech/train/289.wav,294862,من شر الوسواس الخناس
deepspeech/train/290.wav,327630,الذي يوسوس في صدور الناس
deepspeech/train/291.wav,272334,من الجنة و الناس
deepspeech/train/292.wav,198606,قل أعوذ برب الناس
deepspeech/train/293.wav,143310,ملك الناس
deepspeech/train/294.wav,174030,إله الناس
deepspeech/train/295.wav,255950,من شر الوسواس الخناس
deepspeech/train/296.wav,278478,الذي يوسوس في صدور الناس
deepspeech/train/297.wav,241614,من الجنة و الناس
deepspeech/train/298.wav,149454,قل أعوذ برب الناس
deepspeech/train/299.wav,102350,ملك الناس
deepspeech/train/300.wav,92110,إله الناس
deepspeech/train/301.wav,192462,من شر الوسواس الخناس
deepspeech/train/302.wav,204750,الذي يوسوس في صدور الناس
deepspeech/train/303.wav,153550,من الجنة و الناس
deepspeech/train/304.wav,143310,قل أعوذ برب الناس
deepspeech/train/305.wav,96206,ملك الناس
deepspeech/train/306.wav,98254,إله الناس
deepspeech/train/307.wav,178126,من شر الوسواس الخناس
deepspeech/train/308.wav,190414,الذي يوسوس في صدور الناس
deepspeech/train/309.wav,237646,قل أعوذ برب الناس
deepspeech/train/310.wav,79584,ملك الناس
deepspeech/train/311.wav,112278,إله الناس
deepspeech/train/312.wav,228934,من شر الوسواس الخناس
deepspeech/train/313.wav,184352,الذي يوسوس في صدور الناس
deepspeech/train/314.wav,161318,من الجنة و الناس
deepspeech/train/315.wav,163546,قل أعوذ برب الناس
deepspeech/train/316.wav,98382,ملك الناس
deepspeech/train/317.wav,133880,إله الناس
deepspeech/train/318.wav,66208,شر الوسواس الخناس
deepspeech/train/319.wav,173950,الذي يوسوس في صدور الناس
deepspeech/train/320.wav,171720,من الجنة و الناس
deepspeech/train/321.wav,329244,قل أعوذ برب الناس
deepspeech/train/322.wav,94444,ملك الناس
deepspeech/train/323.wav,115250,إله الناس
deepspeech/train/324.wav,179150,من شر الوسواس الخناس
deepspeech/train/325.wav,318098,الذي يوسوس في صدور الناس
deepspeech/train/326.wav,203670,من الجنة و الناس
deepspeech/train/327.wav,139342,قل أعوذ برب الناس
deepspeech/train/328.wav,196240,ملك الناس
deepspeech/train/329.wav,83298,إله الناس
deepspeech/train/330.wav,251968,من شر الوسواس الخناس
deepspeech/train/331.wav,141256,الذي يوسوس في صدور الناس
deepspeech/train/332.wav,166648,من الجنة و الناس
deepspeech/train/333.wav,107076,قل أعوذ برب الناس
deepspeech/train/334.wav,67694,ملك الناس
deepspeech/train/335.wav,130110,إله الناس
deepspeech/train/336.wav,186582,من شر الوسواس الخناس
deepspeech/train/337.wav,218532,من الجنة و الناس
deepspeech/train/338.wav,167262,قل أعوذ برب الناس
deepspeech/train/339.wav,92920,ملك الناس
deepspeech/train/340.wav,73640,إله الناس
deepspeech/train/341.wav,183032,من شر الوسواس الخناس
deepspeech/train/342.wav,98160,من الجنة و الناس
deepspeech/train/343.wav,165776,قل أعوذ برب الناس
deepspeech/train/344.wav,133880,ملك الناس
deepspeech/train/345.wav,306210,من شر الوسواس الخناس
deepspeech/train/346.wav,258656,قل أعوذ برب الناس
deepspeech/train/347.wav,130110,ملك الناس
deepspeech/train/348.wav,101132,من شر الوسواس الخناس
deepspeech/train/349.wav,179150,من شر الوسواس الخناس
deepspeech/train/350.wav,139342,من شر الوسواس الخناس
deepspeech/train/351.wav,270414,من شر الوسواس الخناس
deepspeech/train/352.wav,170978,من شر الوسواس الخناس
deepspeech/train/353.wav,142072,من شر الوسواس الخناس
deepspeech/train/354.wav,131022,قل أعوذ برب الفلق
deepspeech/train/355.wav,122830,من شر ما خلق
deepspeech/train/356.wav,163790,و من شر غاسق إذا وقب
deepspeech/train/357.wav,188366,و من شر النفاثات في العقد
deepspeech/train/358.wav,171982,و من شر حاسد إذا حسد
deepspeech/train/359.wav,114638,من شر ما خلق
deepspeech/train/360.wav,165838,و من شر غاسق إذا وقب
deepspeech/train/361.wav,190414,و من شر النفاثات في العقد
deepspeech/train/362.wav,178126,و من شر حاسد إذا حسد
deepspeech/train/363.wav,98254,قل أعوذ برب الفلق
deepspeech/train/364.wav,83918,من شر ما خلق
deepspeech/train/365.wav,124878,و من شر غاسق إذا وقب
deepspeech/train/366.wav,157646,و من شر النفاثات في العقد
deepspeech/train/367.wav,131022,و من شر حاسد إذا حسد
deepspeech/train/368.wav,112590,قل أعوذ برب الفلق
deepspeech/train/369.wav,106446,من شر ما خلق
deepspeech/train/370.wav,159694,و من شر غاسق إذا وقب
deepspeech/train/371.wav,184270,و من شر النفاثات في العقد
deepspeech/train/372.wav,169934,و من شر حاسد إذا حسد
deepspeech/train/373.wav,208846,قل أعوذ برب الفلق
deepspeech/train/374.wav,176078,من شر ما خلق
deepspeech/train/375.wav,239566,و من شر غاسق إذا وقب
deepspeech/train/376.wav,278478,و من شر النفاثات في العقد
deepspeech/train/377.wav,131022,قل أعوذ برب الفلق
deepspeech/train/378.wav,110542,من شر ما خلق
deepspeech/train/379.wav,165838,و من شر غاسق إذا وقب
deepspeech/train/380.wav,190414,و من شر النفاثات في العقد
deepspeech/train/381.wav,184270,و من شر حاسد إذا حسد
deepspeech/train/382.wav,118734,قل أعوذ برب الفلق
deepspeech/train/383.wav,118734,من شر ما خلق
deepspeech/train/384.wav,163790,و من شر غاسق إذا وقب
deepspeech/train/385.wav,202702,و من شر النفاثات في العقد
deepspeech/train/386.wav,184270,و من شر حاسد إذا حسد
deepspeech/train/387.wav,133070,قل أعوذ برب الفلق
deepspeech/train/388.wav,118734,من شر ما خلق
deepspeech/train/389.wav,167886,و من شر غاسق إذا وقب
deepspeech/train/390.wav,204750,و من شر النفاثات في العقد
deepspeech/train/391.wav,165838,و من شر حاسد إذا حسد
deepspeech/train/392.wav,126926,قل أعوذ برب الفلق
deepspeech/train/393.wav,92110,من شر ما خلق
deepspeech/train/394.wav,141262,و من شر غاسق إذا وقب
deepspeech/train/395.wav,163790,و من شر النفاثات في العقد
deepspeech/train/396.wav,143310,و من شر حاسد إذا حسد
deepspeech/train/397.wav,98254,قل أعوذ برب الفلق
deepspeech/train/398.wav,98254,من شر ما خلق
deepspeech/train/399.wav,139214,و من شر غاسق إذا وقب
deepspeech/train/400.wav,167886,و من شر النفاثات في العقد
deepspeech/train/401.wav,143310,و من شر حاسد إذا حسد
deepspeech/train/402.wav,115250,قل أعوذ برب الفلق
deepspeech/train/403.wav,58778,من شر ما خلق
deepspeech/train/404.wav,177572,و من شر النفاثات في العقد
deepspeech/train/405.wav,210358,و من شر حاسد إذا حسد
deepspeech/train/406.wav,177572,قل أعوذ برب الفلق
deepspeech/train/407.wav,86270,من شر ما خلق
deepspeech/train/408.wav,309182,و من شر غاسق إذا وقب
deepspeech/train/409.wav,165032,و من شر النفاثات في العقد
deepspeech/train/410.wav,185838,و من شر حاسد إذا حسد
deepspeech/train/411.wav,203670,قل أعوذ برب الفلق
deepspeech/train/412.wav,68344,من شر ما خلق
deepspeech/train/413.wav,160574,و من شر غاسق إذا وقب
deepspeech/train/414.wav,163546,و من شر النفاثات في العقد
deepspeech/train/415.wav,121936,و من شر حاسد إذا حسد
deepspeech/train/416.wav,137540,قل أعوذ برب الفلق
deepspeech/train/417.wav,114766,من شر ما خلق
deepspeech/train/418.wav,205156,و من شر النفاثات في العقد
deepspeech/train/419.wav,226706,و من شر حاسد إذا حسد
deepspeech/train/420.wav,147534,قل أعوذ برب الفلق
deepspeech/train/421.wav,82556,من شر ما خلق
deepspeech/train/422.wav,228192,و من شر غاسق إذا وقب
deepspeech/train/423.wav,353764,و من شر النفاثات في العقد
deepspeech/train/424.wav,92958,و من شر حاسد إذا حسد
deepspeech/train/425.wav,113020,قل أعوذ برب الفلق
deepspeech/train/426.wav,107076,من شر ما خلق
deepspeech/train/427.wav,142742,و من شر غاسق إذا وقب
deepspeech/train/428.wav,166648,و من شر النفاثات في العقد
deepspeech/train/429.wav,84042,و من شر حاسد إذا حسد
deepspeech/train/430.wav,127138,قل أعوذ برب الفلق
deepspeech/train/431.wav,193956,و من شر غاسق إذا وقب
deepspeech/train/432.wav,174840,و من شر النفاثات في العقد
deepspeech/train/433.wav,139026,قل أعوذ برب الفلق
deepspeech/train/434.wav,205900,و من شر النفاثات في العقد
